fproceso,subdepto,qfabrica,pares,vcestil,requiere,meta,ndepto
02/05/2017,"FAMILIA",1,383,"18320",T,790,"FAMILIA1"
02/05/2017,"FAMILIA",1,332,"50013",T,790,"FAMILIA1"
02/05/2017,"FAMILIA",1,150,"783",T,790,"FAMILIA1"
02/05/2017,"FAMILIA",1,79,"95042",T,790,"FAMILIA1"
03/05/2017,"FAMILIA",1,124,"10554",T,887,"FAMILIA1"
03/05/2017,"FAMILIA",1,559,"10673",T,887,"FAMILIA1"
03/05/2017,"FAMILIA",1,94,"11131",T,887,"FAMILIA1"
03/05/2017,"FAMILIA",1,27,"11571",T,887,"FAMILIA1"
03/05/2017,"FAMILIA",1,36,"12647",T,887,"FAMILIA1"
03/05/2017,"FAMILIA",1,29,"60251",T,887,"FAMILIA1"
03/05/2017,"FAMILIA",1,19,"75015",T,887,"FAMILIA1"
06/04/2017,"FAMILIA",2,52,"12647",T,523,"FAMILIA2"
06/04/2017,"FAMILIA",2,17,"554",T,523,"FAMILIA2"
06/04/2017,"FAMILIA",2,661,"60254",T,523,"FAMILIA2"
06/04/2017,"FAMILIA",2,261,"75015",T,523,"FAMILIA2"
06/04/2017,"FAMILIA",2,36,"95081",T,523,"FAMILIA2"
07/04/2017,"FAMILIA",2,10,"10302",T,523,"FAMILIA2"
07/04/2017,"FAMILIA",2,16,"12647",T,523,"FAMILIA2"
07/04/2017,"FAMILIA",2,458,"18311",T,523,"FAMILIA2"
07/04/2017,"FAMILIA",2,20,"75015",T,523,"FAMILIA2"
07/04/2017,"FAMILIA",2,8,"95081",T,523,"FAMILIA2"
07/04/2017,"FAMILIA",2,22,"95082",T,523,"FAMILIA2"
08/04/2017,"FAMILIA",2,200,"14076",T,308,"FAMILIA2"
08/04/2017,"FAMILIA",2,13,"18311",T,308,"FAMILIA2"
08/04/2017,"FAMILIA",2,120,"30022",T,308,"FAMILIA2"
17/04/2017,"FAMILIA",2,37,"12647",T,675,"FAMILIA2"
17/04/2017,"FAMILIA",2,29,"18311",T,675,"FAMILIA2"
17/04/2017,"FAMILIA",2,33,"30022",T,675,"FAMILIA2"
17/04/2017,"FAMILIA",2,228,"554",T,675,"FAMILIA2"
17/04/2017,"FAMILIA",2,35,"60253",T,675,"FAMILIA2"
17/04/2017,"FAMILIA",2,59,"75015",T,675,"FAMILIA2"
18/04/2017,"FAMILIA",2,331,"10673",T,760,"FAMILIA2"
18/04/2017,"FAMILIA",2,47,"12647",T,760,"FAMILIA2"
18/04/2017,"FAMILIA",2,10,"30022",T,760,"FAMILIA2"
18/04/2017,"FAMILIA",2,22,"554",T,760,"FAMILIA2"
18/04/2017,"FAMILIA",2,115,"60253",T,760,"FAMILIA2"
18/04/2017,"FAMILIA",2,54,"75015",T,760,"FAMILIA2"
18/04/2017,"FAMILIA",2,166,"95082",T,760,"FAMILIA2"
19/04/2017,"FAMILIA",2,445,"10673",T,694,"FAMILIA2"
19/04/2017,"FAMILIA",2,226,"30022",T,694,"FAMILIA2"
19/04/2017,"FAMILIA",2,32,"95082",T,694,"FAMILIA2"
20/04/2017,"FAMILIA",2,795,"10673",T,851,"FAMILIA2"
20/04/2017,"FAMILIA",2,67,"30022",T,851,"FAMILIA2"
21/04/2017,"FAMILIA",2,267,"10673",T,726,"FAMILIA2"
21/04/2017,"FAMILIA",2,56,"12647",T,726,"FAMILIA2"
21/04/2017,"FAMILIA",2,196,"14076",T,726,"FAMILIA2"
21/04/2017,"FAMILIA",2,40,"18314",T,726,"FAMILIA2"
